timestamp,open_price,low_price,high_price,close_price,volume_price
2007-03-01T06:00:00.000Z,49.4394,49.4928,49.4394,49.4928,418.0
2007-03-01T08:00:00.000Z,48.0787,49.6315,48.0787,48.6657,5020.0
2007-03-01T09:00:00.000Z,48.6657,48.9325,47.369,48.4576,1331246.0
2007-03-01T10:00:00.000Z,48.4576,48.9752,48.3402,48.9325,1315930.0
2007-03-01T11:00:00.000Z,48.6337,49.5728,48.5857,49.5462,976857.0
2007-03-01T12:00:00.000Z,49.5515,49.5568,49.338,49.5408,567430.0
2007-03-01T13:00:00.000Z,49.5462,49.5675,49.3967,49.5568,453859.0
2007-03-01T14:00:00.000Z,49.5568,49.6475,49.3487,49.4234,796738.0
2007-03-01T15:00:00.000Z,49.4234,49.4394,49.1033,49.2313,1174030.0
2007-03-01T16:00:00.000Z,49.2367,49.2633,49.226,49.2367,235873.0
2007-03-02T08:00:00.000Z,49.2367,49.2367,49.2367,49.2367,210246.0
2007-03-02T09:00:00.000Z,49.0926,49.258,48.7938,48.8098,558982.0
2007-03-02T10:00:00.000Z,48.8044,49.29,48.6977,49.0659,611073.0
2007-03-02T11:00:00.000Z,49.0712,49.2794,48.8578,49.0552,871736.0
2007-03-02T12:00:00.000Z,49.0499,49.1459,48.7191,48.8898,609713.0
2007-03-02T13:00:00.000Z,48.8898,48.9058,48.591,48.7297,934391.0
2007-03-02T14:00:00.000Z,48.7457,49.0072,48.6444,48.8791,599567.0
2007-03-02T15:00:00.000Z,48.8845,49.0499,48.4789,48.5696,1820981.0
2007-03-02T16:00:00.000Z,48.5483,49.1139,48.5056,48.5056,209200.0
2007-03-02T19:00:00.000Z,48.6123,48.6123,48.6123,48.6123,209.0
2007-03-05T06:00:00.000Z,47.7052,47.7052,47.6999,47.6999,209.0
2007-03-05T07:00:00.000Z,47.6785,47.8653,47.6785,47.8653,313.0
2007-03-05T08:00:00.000Z,47.9186,48.0734,47.7585,48.0254,2824.0
2007-03-05T09:00:00.000Z,48.1481,48.7938,48.0787,48.7884,1211477.0
2007-03-05T10:00:00.000Z,48.7991,49.1139,48.6764,48.9752,1882486.0
2007-03-05T11:00:00.000Z,48.9752,49.1726,48.7084,48.7191,1351708.0
2007-03-05T12:00:00.000Z,48.7137,48.7617,48.5323,48.6177,1110642.0
2007-03-05T13:00:00.000Z,48.6177,48.9325,48.6177,48.9005,711384.0
2007-03-05T14:00:00.000Z,48.9058,49.1566,48.9005,49.0659,1120475.0
2007-03-05T15:00:00.000Z,49.0659,49.1566,48.9218,48.9699,2427503.0
